"datetime","casos","tempmed","umidmed"
2022-08-07,106,20.69642829,77.62997086
2022-08-14,110,20.41117229,73.38531429
2022-08-21,99,20.44719157,75.42633571
2022-08-28,94,19.20151514,74.46664486
2022-09-04,101,21.98809514,68.51891029
2022-09-11,120,19.61309543,84.59217857
2022-09-18,102,20.00541114,76.14133143
2022-09-25,95,20.38290329,82.49358286
2022-10-02,102,22.14772714,80.41263571
2022-10-09,123,24.28571371,77.28426643
2022-10-16,160,24.45755686,75.53631429
2022-10-23,139,24.36349214,76.83280586
2022-10-30,131,22.26629071,77.47970429
2022-11-06,171,21.93668829,80.27911557
2022-11-13,129,23.94880971,75.56144414
2022-11-20,94,23.89285714,76.31029443
2022-11-27,86,25.45357171,78.58986243
2022-12-04,98,25.47402571,74.99377629
2022-12-11,123,25.07133833,73.50681667
2022-12-18,117,23.0272435,83.38519
2022-12-25,163,24.70151533,80.66009333
2023-01-01,230,24.97619057,78.18809286
2023-01-08,217,25.07142857,82.592395
2023-01-15,246,26.71428571,77.15708371
2023-01-22,311,25.14285714,82.14379257
2023-01-29,384,26.57738086,79.69251886
2023-02-05,524,25.28571429,83.95981657
2023-02-12,371,25.3888888,83.62607547
2023-02-19,506,26.96333344,78.69903688
2023-02-26,872,27.09420278,76.76111157
2023-03-05,944,26.16666657,79.748143
2023-03-12,1125,24.97368421,81.44208516
2023-03-19,1382,26.91666677,74.87950392
2023-03-26,1578,25.55128185,80.48435746
2023-04-02,1419,24.619048,78.91601214
2023-04-09,1782,24.19047629,80.77602057
2023-04-16,1499,24.51785714,77.39646786
2023-04-23,1571,23.39285714,78.72583657
2023-04-30,1919,23.10317448,86.25294743
2023-05-07,1807,22.45151527,84.53712891
2023-05-14,1731,20.45652174,76.87755226
2023-05-21,1478,22.05000016,78.27734368
2023-05-28,1328,20.2833332,88.264806
2023-06-04,1238,19.07894726,84.98666853
2023-06-11,1348,22.0666666,84.6724368
2023-06-18,1236,19.025,77.2142524
2023-06-25,996,20.21428571,81.390786
2023-07-02,835,17.8642858,81.43199885
2023-07-09,769,21.47959186,77.34745629
2023-07-16,646,19.32653071,82.52532929
2023-07-23,557,21.125,84.06895175
2023-07-30,602,19.5952381,81.82673895
2023-08-06,536,21.66071429,79.68647657
2023-08-13,534,21.5,86.09184
2023-08-20,505,21.04166675,83.89699625
2023-08-27,459,20.5833335,81.7021525
2023-09-03,444,20.12500025,79.50730875
2023-09-10,550,19.666667,77.312465
2023-09-17,518,24.43478261,74.14803543
2023-09-24,446,25.02777767,78.05170333
2023-10-01,472,23.14666656,82.27322192
2023-10-08,380,23.72619057,85.822647
2023-10-15,464,22.58125,81.2407605
2023-10-22,449,23.24404752,80.31864143
2023-10-29,477,25.5952381,79.55910905
2023-11-05,703,23.25625,70.4122888
2023-11-12,569,27.1,77.486542
2023-11-19,895,26.9578706666667,77.8190546666667
2023-11-26,980,26.8157413333333,78.1515673333333
2023-12-03,1138,26.673612,78.48408
2023-12-10,1395,24.60215045,76.27779161
2023-12-17,1063,26.36956522,77.95962017
2023-12-24,943,26.63768104,74.15216209
